map level5.png
player_x 192
player_y 576
font /fonts/mfnt4.fnt /fonts/mfnt4.png
text 170 560 0 0 Colours_can_be_mixed
text 170 600 0 0 Speed_is_key
text 520 304 0 0 Cubes_can_pass
text 520 344 0 0 Through_saws
power 6 21 800 0 0 0 0 0 0
power 10 21 0 800 0 0 0 0 0
power 14 21 0 0 800 0 0 0 0
power 30 21 0 0 600 0 0 0 0
saw 23 9
saw 23 10
saw 23 11
saw 25 9
saw 25 10
saw 25 11
box 528 448
button 25 21 24 11 0 0.05 3 0 8 -40 0 0 -336
button 31 10 45 21 0 0.0006 7 0 8 -40 0 0 -288 448 0 0 512 32 0 0 20
walker 38 16 42 16 0.8
clear 50 21
clear 65 39
power 68 39 400 0 0 800 0 0 0
button 101 29 89 26 1 0.008 5 0 8 -360 0 0 -96 -32 0 0 -8
button 78 9 69 13 1 0.008 3 0 12 -296 0 0 12
clear 111 13
wpower 114 13 0 50 0 0 0 100 0
clear 182 13
wpower 184 13 0 50 0 0 0 100 0
clear 122 45
power 123 45 0 0 800 0 0 0 0
clear 174 45
power 181 45 0 0 400 0 800 0 0
button 124 16 177 13 0 0.0065 5 0 8 1648 0 0 -96 32 0 0 -14
walker 132 16 134 16 1
walker 138 16 140 16 1
walker 144 16 146 16 1
walker 150 16 152 16 1
walker 156 16 158 16 1
walker 161 16 162 16 1
walker 165 16 166 16 1
walker 169 16 170 16 1
button 174 27 121 26 0 0.0065 5 0 72 -1672 0 0 -96 -32 0 0 -14
saw 129 29
saw 130 29
saw 131 29
saw 132 29
saw 133 29
saw 136 29
saw 137 29
saw 138 29
saw 139 29
saw 140 29
saw 143 29
saw 144 29
saw 145 29
saw 146 29
saw 147 29
saw 150 29
saw 151 29
saw 152 29
saw 153 29
saw 156 29
saw 157 29
saw 158 29
saw 159 29
saw 162 29
saw 163 29
saw 164 29
saw 165 29
saw 168 29
saw 169 29
saw 170 29
saw 171 29
box 4048 1536
button 202 49 181 52 0 0.007 5 0 8 56 0 0 96 -736 0 0 -14
button 202 46 180 52 0 0.007 5 0 8 56 0 0 192 -768 0 0 -14
button 202 43 179 52 0 0.007 5 0 8 56 0 0 288 -800 0 0 -14
wbutton 202 40 178 52 0 0.007 5 0 8 40 0 0 384 -832 0 0 -14
saw 196 52
saw 196 51
saw 196 50
saw 196 49
saw 196 48
saw 196 47
saw 196 46
saw 196 45
saw 196 44
saw 196 43
saw 196 42
saw 196 41
saw 196 40
saw 196 39
saw 196 38
box 5888 1632
box 5920 1632
box 5952 1632
box 5904 1568
box 5936 1568
box 5920 1504
advancer 175 54
